variable_pre13,variable_std,description,pre13_file,variable_post13
Fed IGR-Highways,Fed IGR-Highways,    Highways.........................................................................................................,a.Txt,B46
Fed IGR-Transit Sub,Fed IGR-Transit Sub,    Transit subsidies (includes B94)......................................................................,a.Txt,B47
Fed IGR-Hous/Com Dev,Fed IGR-Hous/Com Dev,    Housing and community development...............................................................,a.Txt,B50
Fed IGR-Natural Res,Fed IGR-Natural Res,    Natural resources (includes any B54)................................................................,a.Txt,B59
Fed IGR-Public Welf,Fed IGR-Public Welf,    Public welfare....................................................................................................,a.Txt,B79
Fed IGR-Sewerage,Fed IGR-Sewerage,    Sewerage...........................................................................................................,a.Txt,B80
Fed IGR-Other,Fed IGR-Other,"    Other (includes B91, B92, and B93)..............................................................",a.Txt,B89
Total State IG Revenue,Total State IG Revenue,"  Intergovernmental Revenue from State Government, Total..................................",a.Txt,C--
State IGR-Education,State IGR-Education,    Education..........................................................................................................,a.Txt,C21
State IGR-Tax Relief,State IGR-Tax Relief,       Tax relief (Note: Obsolete code after FY 87)................................................,a.Txt,C28
State IGR-Oth Gen Sup,State IGR-Oth Gen Sup,       Other general support...................................................................................,a.Txt,C30
State IGR-Health & Hos,State IGR-Health & Hos,    Health and hospitals..........................................................................................,a.Txt,C42
State IGR-Highways,State IGR-Highways,    Highways.........................................................................................................,a.Txt,C46
State IGR-Transit Sub,State IGR-Transit Sub,    Transit subsidies (includes C94)......................................................................,a.Txt,C47
State IGR-Hous/Com Dev,State IGR-Hous/Com Dev,    Housing and community development..............................................................,a.Txt,C50
State IGR-Public Welf,State IGR-Public Welf,    Public welfare..................................................................................................,a.Txt,C79
State IGR-Sewerage,State IGR-Sewerage,    Sewerage........................................................................................................,a.Txt,C80
State IGR-Other,State IGR-Other,"    Other (includes C91, C92, and C93)..............................................................",a.Txt,C89
Tot Local IG Rev,Tot Local IG Rev,"  Intergovernmental Revenue from Local Governments, Total...............................",a.Txt,D--
Local IGR-InterSchool Aid,Local IGR-InterSchool Aid,      From other school systems (applies to type 5's only).....................................,a.Txt,D11
Local IGR-Other Education,Local IGR-Other Education,      All other local education aid...........................................................................,a.Txt,D21
Local IGR-Oth Gen Sup,Local IGR-Oth Gen Sup,    General government support...........................................................................,a.Txt,D30
Local IGR-Health & Hos,Local IGR-Health & Hos,    Health and hospitals.......................................................................................,a.Txt,D42
Local IGR-Highways,Local IGR-Highways,    Highways.........................................................................................................,a.Txt,D46
Local IGR-Transit Sub,Local IGR-Transit Sub,    Transit subsidies (includes D94)..................................................................,a.Txt,D47
Local IGR-Hous/Com Dev,Local IGR-Hous/Com Dev,    Housing and community development..............................................................,a.Txt,D50
Local IGR-Public Welf,Local IGR-Public Welf,    Public welfare..................................................................................................,a.Txt,D79
Local IGR-Sewerage,Local IGR-Sewerage,    Sewerage.......................................................................................................,a.Txt,D80
Local IGR-Other,Local IGR-Other,"    Other (includes D91, D92, and D93)..............................................................",a.Txt,D89
Tot Chgs and Misc Rev,Tot Chgs and Misc Rev,Total Charges and Miscellaneous General Revenue..............................................,a.Txt,DDD
Total General Charges,Total General Charges,"  General Charges, Total.......................................................................................",a.Txt,A--
Chg-Air Transportation,Chg-Air Transportation,    Air transportation (airports).............................................................................,a.Txt,A01
Chg-Misc Com Activ,Chg-Misc Com Activ,    Miscellaneous commercial activities.................................................................,a.Txt,A03
Chg-Total Education,Chg-Total Education,"    Education, total (includes any A21)................................................................",a.Txt,DDD
Chg-Elem Ed-Sch Lunch,Chg-Elem Ed-Sch Lunch,        School Lunch...............................................................................................,a.Txt,A09
Chg-Elem Ed-Tuition,Chg-Elem Ed-Tuition,        Tuition..........................................................................................................,a.Txt,A10
Chg-Elem Ed-NEC,Chg-Elem Ed-NEC,        Other............................................................................................................,a.Txt,A12
Chg-Total High Ed,Chg-Total High Ed,      Higher Education (includes A16 and A18)....................................................,a.Txt,DDD
Chg-Hospitals,Chg-Hospitals,    Hospitals.............................................................................................................,a.Txt,A36
Chg-Regular Highways,Chg-Regular Highways,      Regular Highways (includes A45 before FY 1977).......................................,a.Txt,A44
Chg-Toll Highways,Chg-Toll Highways,      Toll highways (not available before FY 1977)..............................................................,a.Txt,A45
Chg-Housing & Comm Dev,Chg-Housing & Comm Dev,    Housing and community development..............................................................,a.Txt,A50
Chg-Total Nat Res,Chg-Total Nat Res,"    Natural resources (includes any A54, A56, and A59)....................................",a.Txt,A59
Chg-Parking,Chg-Parking,    Parking facilities................................................................................................,a.Txt,A60
Chg-Parks & Recreation,Chg-Parks & Recreation,    Parks and recreation.......................................................................................,a.Txt,A61
Chg-Sewerage,Chg-Sewerage,    Sewerage.........................................................................................................,a.Txt,A80
Chg-Solid Waste Mgmt,Chg-Solid Waste Mgmt,    Solid waste management..................................................................................,a.Txt,A81
Chg-Water Transport,Chg-Water Transport,    Sea and Inland Port Facilities.....................................................................................................,a.Txt,A87
Chg-All Other NEC,Chg-All Other NEC,"    All other general charges, NEC (includes Federal codes A06 and  A14).......................................................................",a.Txt,A89
Misc General Revenue,Misc General Revenue,"  Miscellaneous General Revenue, Total.................................................................",a.Txt,U--
Special Assessments,Special Assessments,    Special assessments..........................................................................................,a.Txt,U01
Prop Sale-Hous/Com Dev,Prop Sale-Hous/Com Dev,      Housing and community development..........................................................,a.Txt,U10
Prop Sale-Other,Prop Sale-Other,      Other property................................................................................................,a.Txt,U11
Interest Revenue,Interest Revenue,    Interest earnings on investments.....................................................................,a.Txt,U20
Fines and Forfeits,Fines and Forfeits,    Fines and forfeits............................................................................................,a.Txt,U30
Rents and Royalties,Rents and Royalties,    Rents and royalties (includes U40 and U41)....................................................,a.Txt,U4-
Net Lottery Revenue,Net Lottery Revenue,"    Net lottery revenue, after prizes & admin expenses..............................................................",a.Txt,U95
Misc General Rev NEC,Misc General Rev NEC,    Other miscellaneous general revenue..............................................................,a.Txt,U99
Liquor Stores Revenue,Liquor Stores Revenue,Liquor Stores Revenue........................................................................................,a.Txt,A90
Total Utility Revenue,Total Utility Revenue,Total Utility Charges........................................................................................,a.Txt,A9-
Water Utility Revenue,Water Utility Revenue,  Water supply utility charges................................................................................,a.Txt,A91
Electric Utility Rev,Electric Utility Rev,  Electric power utility charges..............................................................................,a.Txt,A92
Gas Utility Rev,Gas Utility Rev,  Gas supply utility charges..................................................................................,a.Txt,A93
Transit Utility Rev,Transit Utility Rev,  Transit systems utility charges.........................................................................,a.Txt,A94
Total Insur Trust Rev,Total Insur Trust Rev,Total Insurance Trust Revenue (includes systems not listed separately)..........................................,a.Txt,DDD
Total Insur Trust Ctrb,Total Insur Trust Ctrb,  Total insurance trust contributions.....................................................................,a.Txt,DDD
Tot Ins Trust Inv Rev,Tot Ins Trust Inv Rev,  Total insurance trust earnings on investments................................................,a.Txt,DDD
Total Emp Ret Rev,Total Emp Ret Rev,  Total revenue.....................................................................................................,a.Txt,DDD
Emp Ret-Total Ctrib,Emp Ret-Total Ctrib,  Total contributions (Note: Not sum of detail below)............................................,a.Txt,DDD
Emp Ret-Loc Emp Ctrib,Emp Ret-Loc Emp Ctrib,    Contributions from employees (includes any X02)..........................................,a.Txt,X01
Emp Ret-Loc To Loc Sys,Emp Ret-Loc To Loc Sys,    Local government contribution to local system (intragovernmental transfer)..,a.Txt,X04
Emp Ret-From Other Gov,Emp Ret-From Other Gov,    Contribution from other governments.............................................................,a.Txt,X05
Emp Ret-Sta To Sta Ctr,Emp Ret-Sta To Sta Ctr,    State government contribution to own system (sic)................................................,a.Txt,X06
Emp Ret-Int Rev,Emp Ret-Int Rev,  Interest on investments......................................................................................,a.Txt,X08
Emp Ret-Other Earnings,Emp Ret-Other Earnings,  Other investment earnings..............................................................................,a.Txt,X09
Total Unemp Rev,Total Unemp Rev,  Total revenue....................................................................................................,a.Txt,DDD
Unemp-Payroll Tax,Unemp-Payroll Tax,  Contributions from employers (payroll taxes)...................................................,a.Txt,Y01
Unemp-Int Revenue,Unemp-Int Revenue,  Interest credited by Federal Government...........................................................,a.Txt,Y02
Unemp-Federal Advances,Unemp-Federal Advances,  Advances and contributions from Federal Government...................................,a.Txt,Y04
Total Expenditure,Total-Total Exp,Total Expenditure.....................................................................................................,a.Txt,DDD
Total IG Expenditure,Total-IG Exp,Total Intergovernmental Expenditure.....................................................................,a.Txt,DDD
Direct Expenditure,Total-Direct Exp,Direct Expenditure..................................................................................................,a.Txt,DDD
Total Current Expend,Total-Curr Exp,Total Current Expenditure (= C301 - C307)................................................................,a.Txt,DDD
Total Current Oper,Total-Curr Ops,Total Current Operations.......................................................................................,a.Txt,E--
Total Capital Outlays,Total-Cap Outlay,Total Capital Outlays..............................................................................................,a.Txt,DDD
Total Construction,Total-Construct,   Construction Only.............................................................................................,a.Txt,F--
Total Oth Cap Outlays,Total-Oth Cap Outlay,   Other Capital Outlays.........................................................................................,a.Txt.calculate,G--
Tot Assist & Subsidies,Tot Assist & Subsidies,Total Assistance And Subsidies...........................................................................,a.Txt,DDD
Total Interest on Debt,Total Interest on Debt,Total Interest On Debt..............................................................................................,a.Txt,I--
Total Insur Trust Ben,Total Insur Trust Ben,Total Insurance Trust Benefits (includes systems not listed separately below)........................................,a.Txt,DDD
Total Salaries & Wages,Total Salaries & Wages,Exhibit: Total Salaries And Wages........................................................................,a.Txt,Z00
General Expenditure,General Expenditure,General Expenditure..........................................................................................,a.Txt,DDD
IG Exp-To State Govt,IG Exp-To State Govt,    To State Governments.....................................................................................,a.Txt,L--
IG Exp-To Local Govts,IG Exp-To Local Govts,    To Local Governments................................................................................,a.Txt,DDD
IG Exp-To Federal Govt,IG Exp-To Federal Govt,    To Federal Government........................................................................................,a.Txt,S--
Direct General Expend,Direct General Expend,  Direct General Expenditure.................................................................................,a.Txt,DDD
General Current Expend,General Current Expend,  General Current Expenditure (= C315 - C329).....................................................,a.Txt,DDD
General Current Oper,General Current Oper,  General Current Operations..............................................................................,a.Txt,E--
General Capital Outlay,General Capital Outlay,  General Capital Outlays......................................................................................,a.Txt,DDD
General Construction,General Construction,    General Construction.......................................................................................,a.Txt,F--
General Assist & Sub,General Assist & Sub,  Assistance and subsidies (same as C311 above).............................................................,a.Txt,DDD
General Debt Interest,General Debt Interest,  Interest on general debt (same as I89 below).................................................................,a.Txt,I89
Air Trans-Total Expend,Air Trans-Total Exp,"Air Transportation, Total.........................................................................................",a.Txt,-1
Air Trans-Direct Expend,Air Trans-Direct Exp,  Direct expenditure.............................................................................................,a.Txt,-1
Air Trans-Curr Ops,Air Trans-Curr Ops,    Current operations............................................................................................,a.Txt.calculate,E01
Air Trans-Cap Outlay,Air Trans-Cap Outlay,    Capital outlays...................................................................................................,a.Txt,DDD
Air Trans-Construction,Air Trans-Construct,      Construction..................................................................................................,a.Txt,F01
Air Trans-Oth Cap Outlay,Air Trans-Oth Cap Outlay,      Other capital outlays......................................................................................,a.Txt.calculate,G01
Air Trans-IG To State,Air Trans-IG To State,    To state government.......................................................................................,a.Txt,L01
Air Trans-IG-Local Govts,Air Trans-IG-Local Govts,"    To local governments, total (includes N01, O01, P01, and R01)........................",a.Txt,M01
Misc Com Activ-Tot Exp,Misc Com Activ-Total Exp,"Miscellaneous Commercial Activities, Total.........................................................",a.Txt,-3
Misc Com Activ-Curr Ops,Misc Com Activ-Curr Ops,  Current operations...............................................................................................,a.Txt.calculate,E03
Misc Com Activ-Cap Out,Misc Com Activ-Cap Outlay,  Capital outlays...................................................................................................,a.Txt,DDD
Misc Com Activ-Constr,Misc Com Activ-Construct,    Construction......................................................................................................,a.Txt,F03
Misc Com Activ-Oth Cap Out,Misc Com Activ-Oth Cap Outlay,    Other capital outlays.......................................................................................,a.Txt.calculate,G03
Correct-Total Exp,Correct-Total Exp,"Corrections, Total (includes -04, Correctional Institutions)......................................................................",a.Txt,-4
Correct-Direct Exp,Correct-Direct Exp,  Direct expenditure............................................................................................,a.Txt,-4
Correct-Curr Ops,Correct-Curr Ops,    Current operations..........................................................................................,a.Txt.calculate,E04
Correct-Cap Outlay,Correct-Cap Outlay,    Capital outlays................................................................................................,a.Txt,DDD
Correct-Construct,Correct-Construct,      Construction.....................................................................................................,a.Txt,F04
Correct-Oth Cap Out,Correct-Oth Cap Outlay,      Other capital outlays.......................................................................................,a.Txt.calculate,G04
Correct-IG To St,Correct-IG To St,    To state government.........................................................................................,a.Txt,L04
Correct-IG-Loc Govts,Correct-IG-Loc Govts,"    To local governments, total (includes N05, O05, P05, and R05)........................",a.Txt,M04
Total Educ-Total Exp,Total Educ-Total Exp,"Total Education, Total...................................................................................................................",a.Txt,DDD
Total Educ-Direct Exp,Total Educ-Direct Exp,  Direct Expenditure..............................................................................................,a.Txt,DDD
Total Educ-Curr Ops,Total Educ-Curr Ops,    Current operations..........................................................................................,a.Txt.calculate,DDD
Total Educ-Assist & Sub,Total Educ-Assist & Sub,    Assistance and subsidies (same as E19 below).......................................................................................................,a.Txt,J19
Total Educ-Cap Outlay,Total Educ-Cap Outlay,    Capital outlays..............................................................................................,a.Txt,DDD
Total Educ-Construct,Total Educ-Construct,      Construction...................................................................................................,a.Txt,DDD
Total Educ-Oth Cap Outlay,Total Educ-Oth Cap Outlay,      Other capital outlays.........................................................................................,a.Txt.calculate,DDD
Elem Educ-Total Exp,Elem Educ-Total Exp,"Elementary and Secondary Education, Total.........................................................",a.Txt,-12
Elem Educ-Direct Exp,Elem Educ-Direct Exp,  Direct expenditure...........................................................................................,a.Txt,-12
Elem Educ-Curr Ops,Elem Educ-Curr Ops,    Current operations...........................................................................................,a.Txt.calculate,E12
Elem Educ-Cap Outlay,Elem Educ-Cap Outlay,    Capital outlays................................................................................................,a.Txt,DDD
Elem Educ-Construction,Elem Educ-Construct,      Construction...................................................................................................,a.Txt,F12
Elem Educ-Oth Cap Outlay,Elem Educ-Oth Cap Outlay,      Other capital outlays.........................................................................................,a.Txt.calculate,G12
Elem Educ-IG To State,Elem Educ-IG To State,    To state government...........................................................................................,a.Txt,L12
Elem Educ-IG-Local Govts,Elem Educ-IG-Local Govts,"    To local governments NEC (includes N12, O12, P12, Q12, and R12)........................",a.Txt,M12
Elem Educ-IG-Sch to Sch,Elem Educ-IG-Sch to Sch ,    Interschool District Transfers..........................................................................................,a.Txt,Q11
Higher Ed-Total Exp,Higher Ed-Total Exp,"Higher Education, Total (includes -16, Auxiliary Enterprises)............................................................",b.Txt,-18
Higher Ed-Direct Exp,Higher Ed-Direct Exp,  Direct expenditure..................................................................................................................,b.Txt,-18
Higher Ed-Curr Ops,Higher Ed-Curr Ops,    Current operations................................................................................................................,b.Txt.calculate,E18
Higher Ed-Cap Outlay,Higher Ed-Cap Outlay,    Capital outlays...................................................................................................................,b.Txt,DDD
Higher Ed-Construct,Higher Ed-Construct,      Construction....................................................................................................................,b.Txt,F18
Higher Ed-Oth Cap Outlay,Higher Ed-Oth Cap Outlay,      Other capital outlays..................................................................................,b.Txt.calculate,G18
Higher Ed-IG To St,Higher Ed-IG To St,    To state government...................................................................................,b.Txt,L18
Higher Ed-IG-Loc Govts,Higher Ed-IG-Loc Govts,"    To local governments, total (includes N18, O18, P18, Q18, and R18)........................",b.Txt,M18
Educ-NEC-Total Expend,Educ_NEC-Total Exp,"Education, NEC, Total.................................................................................................",b.Txt,-21
Educ-NEC-Direct Expend,Educ_NEC-Direct Exp,  Direct expenditure.......................................................................................................,b.Txt,-21
Educ-NEC-Curr Ops,Educ_NEC-Curr Ops,    Current operations...............................................................................,b.Txt.calculate,E21
Educ-NEC-Assistance,Educ_NEC-Assistance,    Assistance and subsidies............................................................................................,b.Txt,J19
Educ-NEC-Cap Outlay,Educ_NEC-Cap Outlay,    Capital outlays...................................................................................................................,b.Txt,DDD
Educ-NEC-Construction,Educ_NEC-Construct,      Construction....................................................................................................................,b.Txt,F21
Educ-NEC-Oth Cap Outlay,Educ_NEC-Oth Cap Outlay,      Other capital outlays.......................................................................................,b.Txt.calculate,G21
Educ-NEC-IG To State,Educ_NEC-IG To State,    To state government......................................................................................,b.Txt,L21
Educ-NEC-IG-Local Govts,Educ_NEC-IG-Local Govts,"    To local governments, total (includes N21, O21, P21, Q21, and R21)........................",b.Txt,M21
Emp Sec Adm-Direct Exp,Emp Sec Adm-Direct Exp,"Employment Security Admin., Total (for Fed Govt, includes IG expend)...........................................................",b.Txt,-22
Emp Sec Adm-Curr Ops,Emp Sec Adm-Curr Ops,  Current operations...............................................................................................,b.Txt.calculate,E22
Emp Sec Adm-Cap Outlay,Emp Sec Adm-Cap Outlay,  Capital outlays...................................................................................................,b.Txt,DDD
Emp Sec Adm-Construct,Emp Sec Adm-Construct,    Construction......................................................................................................,b.Txt,F22
Emp Sec Adm-Oth Cap Outlay,Emp Sec Adm-Oth Cap Outlay,    Other capital outlays.......................................................................................,b.Txt.calculate,G22
Fin Admin-Total Exp,Fin Admin-Total Exp,"Financial Administration, Total...............................................................................",b.Txt,-23
Fin Admin-Direct Exp,Fin Admin-Direct Exp,  Direct expenditure..................................................................................................................,b.Txt,-23
Fin Admin-Curr Ops,Fin Admin-Curr Ops,    Current operations........................................................................................,b.Txt.calculate,E23
Fin Admin-Cap Outlay,Fin Admin-Cap Outlay,    Capital outlays...................................................................................................................,b.Txt,DDD
Fin Admin-Construction,Fin Admin-Construct,      Construction....................................................................................................................,b.Txt,F23
Fin Admin-Oth Cap Outlay,Fin Admin-Oth Cap Outlay,      Other capital outlays......................................................................................,b.Txt.calculate,G23
Fin Admin-IG To State,Fin Admin-IG To State,    To state government....................................................................................................................,b.Txt,L23
Fin Admin-IG-Local Govts,Fin Admin-IG-Local Govts,"    To local governments, total (includes N23, O23, P23, and R23)........................",b.Txt,M23
Fire Prot-Total Expend,Fire Prot-Total Exp,"Fire Protection, Total.....................................................................................................................",b.Txt,-24
Fire Prot-Direct Exp,Fire Prot-Direct Exp,  Direct expenditure.......................................................................................................................,b.Txt,-24
Fire Prot-Curr Ops,Fire Prot-Curr Ops,    Current operations.....................................................................................................................,b.Txt.calculate,E24
Fire Prot-Cap Outlay,Fire Prot-Cap Outlay,    Capital outlays........................................................................................................................,b.Txt,DDD
Fire Prot-Construction,Fire Prot-Construct,      Construction.........................................................................................................................,b.Txt,F24
Fire Prot-Oth Cap Outlay,Fire Prot-Oth Cap Outlay,      Other capital outlays................................................................................................................,b.Txt.calculate,G24
Fire Prot-IG To State,Fire Prot-IG To State,    To state government....................................................................................................................,b.Txt,L24
Fire Prot-IG-Local Govts,Fire Prot-IG-Local Govts,"    To local governments, total (includes N24, O24, P24, and R24)........................",b.Txt,M24
Judicial-Total Expend,Judicial-Total Exp,"Judicial and Legal, Total............................................................................................",b.Txt,-25
Judicial-Direct Expend,Judicial-Direct Exp,  Direct expenditure.......................................................................................................................,b.Txt,-25
Judicial-Curr Ops,Judicial-Curr Ops,    Current operations............................................................................................,b.Txt.calculate,E25
Judicial-Cap Outlay,Judicial-Cap Outlay,    Capital outlays........................................................................................................................,b.Txt,DDD
Judicial-Construction,Judicial-Construct,      Construction.........................................................................................................................,b.Txt,F25
Judicial-Oth Cap Outlay,Judicial-Oth Cap Outlay,      Other capital outlays................................................................................................................,b.Txt.calculate,G25
Judicial-IG To State,Judicial-IG To State,    To state government....................................................................................................................,b.Txt,L25
Judicial-IG-Local Govts,Judicial-IG-Local Govts,"    To local governments, total (includes N25, O25, P25, and R25)........................",b.Txt,M25
Cen Staff-Total Expend,Cen Staff-Total Exp,"Central Staff Services, Total (includes any Legislative Activities, code -26)............................................",b.Txt,-29
Cen Staff-Direct Exp,Cen Staff-Direct Exp,  Direct expenditure.......................................................................................................................,b.Txt,-29
Cen Staff-Curr Ops,Cen Staff-Curr Ops,    Current operations..........................................................................................,b.Txt.calculate,E29
Cen Staff-Cap Outlay,Cen Staff-Cap Outlay,    Capital outlays........................................................................................................................,b.Txt,DDD
Cen Staff-Construction,Cen Staff-Construct,      Construction.........................................................................................................................,b.Txt,F29
Cen Staff-Oth Cap Outlay,Cen Staff-Oth Cap Outlay,      Other capital outlays................................................................................................................,b.Txt.calculate,G29
Cen Staff-IG To State,Cen Staff-IG To State,    To state government....................................................................................................................,b.Txt,L29
Cen Staff-IG-Local Govts,Cen Staff-IG-Local Govts,"    To local governments, total (includes N29, O29, P29, and R29)........................",b.Txt,M29
Gen Pub Bldg-Total Exp,Gen Pub Bldg-Total Exp,"General Public Buildings, Total.............................................................................",b.Txt,-31
Gen Pub Bldg-Curr Ops,Gen Pub Bldg-Curr Ops,  Current operations.............................................................................................................,b.Txt.calculate,E31
Gen Pub Bldg-Cap Out,Gen Pub Bldg-Cap Outlay,  Capital outlays......................................................................................................,b.Txt,DDD
Gen Pub Bldg-Construct,Gen Pub Bldg-Construct,    Construction.......................................................................................................,b.Txt,F31
Gen Pub Bldg-Oth Cap Outlay,Gen Pub Bldg-Oth Cap Outlay,    Other capital outlays........................................................................................................,b.Txt.calculate,G31
Health-Total Expend,Health-Total Exp,"Health, Total...........................................................................................................................",b.Txt,-32
Health-Direct Expend,Health-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-32
Health-Curr Ops,Health-Curr Ops,    Current operations................................................................................................,b.Txt.calculate,E32
Health-Capital Outlay,Health-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Health-Construction,Health-Construct,      Construction...............................................................................................................,b.Txt,F32
Health-Oth Cap Outlay,Health-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G32
Health-IG To State,Health-IG To State,    To state government..........................................................................................................,b.Txt,L32
Health-IG-Local Govts,Health-IG-Local Govts,"    To local governments, total (includes N32, O32, P32, and R32)........................",b.Txt,M32
Total Hospital-Total Exp,Total Hospital-Total Exp,"Total Hospitals, Total.............................................................................................................",b.Txt,-36
Total Hospital-Dir Exp,Total Hospital-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-36
Total Hospitals-Curr Ops,Total Hospital-Curr Ops,    Current operations.................................................................................................................,b.Txt.calculate,E36
Total Hospital-Cap Out,Total Hospital-Cap Outlay,    Capital Outlays..............................................................................................................,b.Txt,DDD
Total Hospital-Construct,Total Hospital-Construct,      Construction.......................................................................................................,b.Txt,F36
Total Hospitals-Oth Cap Outlay,Total Hospital-Oth Cap Outlay,      Other capital outlays........................................................................................................,b.Txt.calculate,G36
Total Hospital-IG To State,Total Hospital-IG To State,    To state government..........................................................................................................,b.Txt,L36
Total Hospital-IG-Loc Govts,Total Hospital-IG-Loc Govts,"    To local governments, total (includes N38, O38, P38, and R38)........................",b.Txt,M36
Own Hospital-Total Exp,Own Hospital-Total Exp,"Own Hospitals, Total..............................................................................................",b.Txt,DDD
Own Hospital-Curr Ops,Own Hospital-Curr Ops,  Current operations................................................................................................,b.Txt.calculate,DDD
Own Hospital-Cap Out,Own Hospital-Cap Outlay,  Capital outlays......................................................................................................,b.Txt,DDD
Own Hospital-Construct,Own Hospital-Construct,    Construction.......................................................................................................,b.Txt,DDD
