variable_pre11,variable_post11,variable_std
Elem Educ-Health-PT Emp,,Elem Educ-Health-PT Emp
Elem Educ-Health-PT Pay,,Elem Educ-Health-PT Pay
Elem Educ-Health-FT Equiv,,Elem Educ-Health-FT Equiv
Elem Educ-Stdt-Total Emp,,Elem Educ-Stdt-Total Emp
Elem Educ-Stdt-Total Pay,,Elem Educ-Stdt-Total Pay
Elem Educ-Stdt-FT Emp,,Elem Educ-Stdt-FT Emp
Elem Educ-Stdt-FT Pay,,Elem Educ-Stdt-FT Pay
Elem Educ-Stdt-PT Emp,,Elem Educ-Stdt-PT Emp
Elem Educ-Stdt-PT Pay,,Elem Educ-Stdt-PT Pay
Elem Educ-Stdt-FT Equiv,,Elem Educ-Stdt-FT Equiv
Elem Educ-Unallo-Total Emp,,Elem Educ-Unallo-Total Emp
Elem Educ-Unallo-Total Pay,,Elem Educ-Unallo-Total Pay
Elem Educ-Unallo-FT Emp,,Elem Educ-Unallo-FT Emp
Elem Educ-Unallo-FT Pay,,Elem Educ-Unallo-FT Pay
Elem Educ-Unallo-PT Emp,,Elem Educ-Unallo-PT Emp
Elem Educ-Unallo-PT Pay,,Elem Educ-Unallo-PT Pay
Elem Educ-Unallo-FT Equiv,,Elem Educ-Unallo-FT Equiv
Total High Ed-Total Emp,,Total High Ed-Total Emp
Total High Ed-Total Pay,,Total High Ed-Total Pay
Total High Ed-FT Emp,,Total High Ed-FT Emp
Total High Ed-FT Pay,,Total High Ed-FT Pay
Total High Ed-PT Emp,,Total High Ed-PT Emp
Total High Ed-PT Pay,,Total High Ed-PT Pay
Total High Ed-FT Equiv,,Total High Ed-FT Equiv
High Ed-Instr-Total Emp,18,High Ed-Instr-Total Emp
High Ed-Instr-Total Pay,18,High Ed-Instr-Total Pay
High Ed-Instr-FT Emp,18,High Ed-Instr-FT Emp
High Ed-Instr-FT Pay,18,High Ed-Instr-FT Pay
High Ed-Instr-PT Emp,18,High Ed-Instr-PT Emp
High Ed-Instr-PT Pay,18,High Ed-Instr-PT Pay
High Ed-Instr-FT Equiv,18,High Ed-Instr-FT Equiv
High Ed-Other-Total Emp,16,High Ed-Other-Total Emp
High Ed-Other-Total Pay,16,High Ed-Other-Total Pay
High Ed-Other-FT Emp,16,High Ed-Other-FT Emp
High Ed-Other-FT Pay,16,High Ed-Other-FT Pay
High Ed-Other-PT Emp,16,High Ed-Other-PT Emp
High Ed-Other-PT Pay,16,High Ed-Other-PT Pay
High Ed-Other-FT Equiv,16,High Ed-Other-FT Equiv
,21,Educ-Other-Total Emp
,21,Educ-Other-Total Pay
,21,Educ-Other-FT Emp
,21,Educ-Other-FT Pay
,21,Educ-Other-PT Emp
,21,Educ-Other-PT Pay
,21,Educ-Other-FT Equiv
Fin Admin-Total Emp,23,Fin Admin-Total Emp
Fin Admin-Total Pay,23,Fin Admin-Total Pay
Fin Admin-FT Emp,23,Fin Admin-FT Emp
Fin Admin-FT Pay,23,Fin Admin-FT Pay
Fin Admin-PT Emp,23,Fin Admin-PT Emp
Fin Admin-PT Pay,23,Fin Admin-PT Pay
Fin Admin-FT Equiv,23,Fin Admin-FT Equiv
Fire Prot-Total Emp,,Fire Prot-Total Emp
Fire Prot-Total Pay,,Fire Prot-Total Pay
Fire Prot-FT Emp,,Fire Prot-FT Emp
Fire Prot-FT Pay,,Fire Prot-FT Pay
Fire Prot-PT Emp,,Fire Prot-PT Emp
Fire Prot-PT Pay,,Fire Prot-PT Pay
Fire Prot-FT Equiv,,Fire Prot-FT Equiv
Firefighters-Total Emp,24,Firefighters-Total Emp
Firefighters-Total Pay,24,Firefighters-Total Pay
Firefighters-FT Emp,24,Firefighters-FT Emp
Firefighters-FT Pay,24,Firefighters-FT Pay
Firefighters-PT Emp,24,Firefighters-PT Emp
Firefighters-PT Pay,24,Firefighters-PT Pay
Firefighters-FT Equiv,24,Firefighters-FT Equiv
,124,Fire-Other-Total Emp
,124,Fire-Other-Total Pay
,124,Fire-Other-FT Emp
,124,Fire-Other-FT Pay
,124,Fire-Other-PT Emp
,124,Fire-Other-PT Pay
,124,Fire-Other-FT Equiv
Judicial-Total Emp,25,Judicial-Total Emp
Judicial-Total Pay,25,Judicial-Total Pay
Judicial-FT Emp,25,Judicial-FT Emp
Judicial-FT Pay,25,Judicial-FT Pay
Judicial-PT Emp,25,Judicial-PT Emp
Judicial-PT Pay,25,Judicial-PT Pay
Judicial-FT Equiv,25,Judicial-FT Equiv
Other Gov Adm-Total Emp,29,Other Gov Adm-Total Emp
Other Gov Adm-Total Pay,29,Other Gov Adm-Total Pay
Other Gov Adm-FT Emp,29,Other Gov Adm-FT Emp
Other Gov Adm-FT Pay,29,Other Gov Adm-FT Pay
Other Gov Adm-PT Emp,29,Other Gov Adm-PT Emp
Other Gov Adm-PT Pay,29,Other Gov Adm-PT Pay
Other Gov Adm-FT Equiv,29,Other Gov Adm-FT Equiv
Health & Hosp-Total Emp,,Health & Hosp-Total Emp
Health & Hosp-Total Pay,,Health & Hosp-Total Pay
Health & Hosp-FT Emp,,Health & Hosp-FT Emp
Health & Hosp-FT Pay,,Health & Hosp-FT Pay
Health & Hosp-PT Emp,,Health & Hosp-PT Emp
Health & Hosp-PT Pay,,Health & Hosp-PT Pay
Health & Hosp-FT Equiv,,Health & Hosp-FT Equiv
Health-Total Emp,32,Health-Total Emp
Health-Total Pay,32,Health-Total Pay
Health-FT Emp,32,Health-FT Emp
Health-FT Pay,32,Health-FT Pay
Health-PT Emp,32,Health-PT Emp
Health-PT Pay,32,Health-PT Pay
Health-FT Equiv,32,Health-FT Equiv
Hospital-Total Emp,36,Hospital-Total Emp
Hospital-Total Pay,36,Hospital-Total Pay
Hospital-FT Emp,36,Hospital-FT Emp
Hospital-FT Pay,36,Hospital-FT Pay
Hospital-PT Emp,36,Hospital-PT Emp
Hospital-PT Pay,36,Hospital-PT Pay
Hospital-FT Equiv,36,Hospital-FT Equiv
Highways-Total Emp,44,Highways-Total Emp
Highways-Total Pay,44,Highways-Total Pay
Highways-FT Emp,44,Highways-FT Emp
Highways-FT Pay,44,Highways-FT Pay
Highways-PT Emp,44,Highways-PT Emp
Highways-PT Pay,44,Highways-PT Pay
Highways-FT Equiv,44,Highways-FT Equiv
Hous & Com-Total Emp,50,Hous & Com-Total Emp
Hous & Com-Total Pay,50,Hous & Com-Total Pay
Hous & Com-FT Emp,50,Hous & Com-FT Emp
Hous & Com-FT Pay,50,Hous & Com-FT Pay
Hous & Com-PT Emp,50,Hous & Com-PT Emp
Hous & Com-PT Pay,50,Hous & Com-PT Pay
Hous & Com-FT Equiv,50,Hous & Com-FT Equiv
Libraries-Total Emp,52,Libraries-Total Emp
Libraries-Total Pay,52,Libraries-Total Pay
Libraries-FT Emp,52,Libraries-FT Emp
Libraries-FT Pay,52,Libraries-FT Pay
Libraries-PT Emp,52,Libraries-PT Emp
Libraries-PT Pay,52,Libraries-PT Pay
Libraries-FT Equiv,52,Libraries-FT Equiv
Natural Res-Total Emp,59,Natural Res-Total Emp
Natural Res-Total Pay,59,Natural Res-Total Pay
Natural Res-FT Emp,59,Natural Res-FT Emp
Natural Res-FT Pay,59,Natural Res-FT Pay
Natural Res-PT Emp,59,Natural Res-PT Emp
Natural Res-PT Pay,59,Natural Res-PT Pay
Natural Res-FT Equiv,59,Natural Res-FT Equiv
Parks & Rec-Total Emp,61,Parks & Rec-Total Emp
Parks & Rec-Total Pay,61,Parks & Rec-Total Pay
Parks & Rec-FT Emp,61,Parks & Rec-FT Emp
Parks & Rec-FT Pay,61,Parks & Rec-FT Pay
Parks & Rec-PT Emp,61,Parks & Rec-PT Emp
Parks & Rec-PT Pay,61,Parks & Rec-PT Pay
Parks & Rec-FT Equiv,61,Parks & Rec-FT Equiv
Police Prot-Total Emp,,Police Prot-Total Emp
Police Prot-Total Pay,,Police Prot-Total Pay
Police Prot-FT Emp,,Police Prot-FT Emp
Police Prot-FT Pay,,Police Prot-FT Pay
Police Prot-PT Emp,,Police Prot-PT Emp
Police Prot-PT Pay,,Police Prot-PT Pay
Police Prot-FT Equiv,,Police Prot-FT Equiv
Police Officers-Total Emp,62,Police Officers-Total Emp
Police Officers-Total Pay,62,Police Officers-Total Pay
Police Officers-FT Emp,62,Police Officers-FT Emp
Police Officers-FT Pay,62,Police Officers-FT Pay
Police Officers-PT Emp,62,Police Officers-PT Emp
Police Officers-PT Pay,62,Police Officers-PT Pay
Police Officers-FT Equiv,62,Police Officers-FT Equiv
,162,Police-Other-Total Emp
,162,Police-Other-Total Pay
,162,Police-Other-FT Emp
,162,Police-Other-FT Pay
,162,Police-Other-PT Emp
,162,Police-Other-PT Pay
,162,Police-Other-FT Equiv
Public Welf-Total Emp,79,Public Welf-Total Emp
Public Welf-Total Pay,79,Public Welf-Total Pay
Public Welf-FT Emp,79,Public Welf-FT Emp
Public Welf-FT Pay,79,Public Welf-FT Pay
Public Welf-PT Emp,79,Public Welf-PT Emp
Public Welf-PT Pay,79,Public Welf-PT Pay
Public Welf-FT Equiv,79,Public Welf-FT Equiv
Sanitation-Total Emp,,Sanitation-Total Emp
Sanitation-Total Pay,,Sanitation-Total Pay
Sanitation-FT Emp,,Sanitation-FT Emp
Sanitation-FT Pay,,Sanitation-FT Pay
Sanitation-PT Emp,,Sanitation-PT Emp
Sanitation-PT Pay,,Sanitation-PT Pay
Sanitation-FT Equiv,,Sanitation-FT Equiv
Sewerage-Total Emp,80,Sewerage-Total Emp
Sewerage-Total Pay,80,Sewerage-Total Pay
Sewerage-FT Emp,80,Sewerage-FT Emp
Sewerage-FT Pay,80,Sewerage-FT Pay
Sewerage-PT Emp,80,Sewerage-PT Emp
Sewerage-PT Pay,80,Sewerage-PT Pay
Sewerage-FT Equiv,80,Sewerage-FT Equiv
SW Mgmt-Total Emp,81,SW Mgmt-Total Emp
SW Mgmt-Total Pay,81,SW Mgmt-Total Pay
SW Mgmt-FT Emp,81,SW Mgmt-FT Emp
SW Mgmt-FT Pay,81,SW Mgmt-FT Pay
SW Mgmt-PT Emp,81,SW Mgmt-PT Emp
SW Mgmt-PT Pay,81,SW Mgmt-PT Pay
SW Mgmt-FT Equiv,81,SW Mgmt-FT Equiv
Water Trans-Total Emp,87,Water Trans-Total Emp
Water Trans-Total Pay,87,Water Trans-Total Pay
Water Trans-FT Emp,87,Water Trans-FT Emp
Water Trans-FT Pay,87,Water Trans-FT Pay
Water Trans-PT Emp,87,Water Trans-PT Emp
Water Trans-PT Pay,87,Water Trans-PT Pay
Water Trans-FT Equiv,87,Water Trans-FT Equiv
General NEC-Total Emp,89,General NEC-Total Emp
General NEC-Total Pay,89,General NEC-Total Pay
General NEC-FT Emp,89,General NEC-FT Emp
General NEC-FT Pay,89,General NEC-FT Pay
General NEC-PT Emp,89,General NEC-PT Emp
General NEC-PT Pay,89,General NEC-PT Pay
General NEC-FT Equiv,89,General NEC-FT Equiv
Liquor Stores-Total Emp,90,Liquor Stores-Total Emp
Liquor Stores-Total Pay,90,Liquor Stores-Total Pay
Liquor Stores-FT Emp,90,Liquor Stores-FT Emp
Liquor Stores-FT Pay,90,Liquor Stores-FT Pay
Liquor Stores-PT Emp,90,Liquor Stores-PT Emp
Liquor Stores-PT Pay,90,Liquor Stores-PT Pay
Liquor Stores-FT Equiv,90,Liquor Stores-FT Equiv
Total Util-Total Emp,,Total Util-Total Emp
Total Util-Total Pay,,Total Util-Total Pay
Total Util-FT Emp,,Total Util-FT Emp
Total Util-FT Pay,,Total Util-FT Pay
Total Util-PT Emp,,Total Util-PT Emp
Total Util-PT Pay,,Total Util-PT Pay
Total Util-FT Equiv,,Total Util-FT Equiv
Water Util-Total Emp,91,Water Util-Total Emp
Water Util-Total Pay,91,Water Util-Total Pay
Water Util-FT Emp,91,Water Util-FT Emp
Water Util-FT Pay,91,Water Util-FT Pay
Water Util-PT Emp,91,Water Util-PT Emp
Water Util-PT Pay,91,Water Util-PT Pay
Water Util-FT Equiv,91,Water Util-FT Equiv
Elec Util-Total Emp,92,Elec Util-Total Emp
Elec Util-Total Pay,92,Elec Util-Total Pay
Elec Util-FT Emp,92,Elec Util-FT Emp
Elec Util-FT Pay,92,Elec Util-FT Pay
Elec Util-PT Emp,92,Elec Util-PT Emp
Elec Util-PT Pay,92,Elec Util-PT Pay
Elec Util-FT Equiv,92,Elec Util-FT Equiv
Gas Util-Total Emp,93,Gas Util-Total Emp
Gas Util-Total Pay,93,Gas Util-Total Pay
Gas Util-FT Emp,93,Gas Util-FT Emp
Gas Util-FT Pay,93,Gas Util-FT Pay
Gas Util-PT Emp,93,Gas Util-PT Emp
Gas Util-PT Pay,93,Gas Util-PT Pay
Gas Util-FT Equiv,93,Gas Util-FT Equiv
Transit Util-Total Emp,94,Transit Util-Total Emp
Transit Util-Total Pay,94,Transit Util-Total Pay
Transit Util-FT Emp,94,Transit Util-FT Emp
Transit Util-FT Pay,94,Transit Util-FT Pay
Transit Util-PT Emp,94,Transit Util-PT Emp
Transit Util-PT Pay,94,Transit Util-PT Pay
Transit Util-FT Equiv,94,Transit Util-FT Equiv
